prefLabel@es,term_id,broader_uri,broader_id,prefLabel@en,prefLabel@es,prefLabel@de,prefLabel@nl
contratos en prácticas,LT9547411,,,,,,
conjunto,LT5184826,,,,,,
cuantía,LT6794975,,,,,,
consumo,LT1964302,,,,,,
maternidad,LT3876976,,,,,,
requisito,LT3785765,,,,,,
ampliaciones,LT7897260,,,,,,
cuyos,LT7180286,,,,,,
acogimiento,LT7805701,,,,,,
regla,LT7759089,,,,,,
horas de trabajo,LT8273335,,,,,,
pactada,LT2631818,,,,,,
establecidos,LT8946593,,,,,,
atención,LT5879042,,,,,,
empleo,LT1638672,,,,,,
lactancia,LT7007542,,,,,,
característica,LT4771146,,,,,,
Salario,LT9303537,,,,,,
ámbito,LT2187127,,,,,,
marco,LT8834335,,,,,,
aceptación,LT9832428,,,,,,
servicio,LT5014869,,,,,,
sector,LT6189078,,,,,,
programas,LT7769135,,,,,,
renuncia,LT6227251,,,,,,
sistema,LT6450813,,,,,,
posesión,LT3481858,,,,,,
duración,LT2216494,,,,,,
periodo,LT1635643,,,,,,
descanso,LT3637683,,,,,,
ordinarias,LT3077813,,,,,,
nocturno,LT2133798,,,,,,
contrato en prácticas,LT9750329,,,,,,
respecto,LT7387343,,,,,,
modalidad,LT6243478,,,,,,
incompatibilidad,LT4458080,,,,,,
contrato,LT5060530,,,,,,
oportunidad,LT4677020,,,,,,
adición,LT1684815,,,,,,
fecha,LT6637458,,,,,,
preaviso,LT4171078,,,,,,
incapacidad,LT3132273,,,,,,
recibo,LT4450619,,,,,,
Empleo,LT3771326,,,,,,
empleado,LT8401855,,,,,,
productividad,LT8366041,,,,,,
objeto del contrato,LT7177597,,,,,,
acuerdo,LT1676882,,,,,,
superior,LT7614134,,,,,,
pactadas,LT7454367,,,,,,
contratado en prácticas,LT3003675,,,,,,
pago,LT3426194,,,,,,
semanales,LT3240381,,,,,,
geográficaArtículo,LT4221240,,,,,,
admisión,LT1202575,,,,,,
colectivos de ámbito,LT2905535,,,,,,
mañana,LT3837932,,,,,,
trabajoArtículo,LT7262861,,,,,,
pacto de horas,LT4461744,,,,,,
jornada de trabajo,LT1840202,,,,,,
técnica,LT7491944,,,,,,
carácter,LT1242452,,,,,,
apartado,LT4901785,,,,,,
celebrados con trabajadores,LT7591246,,,,,,
mínimos de descanso,LT2025305,,,,,,
mes,LT8784262,,,,,,
título,LT5581692,,,,,,
relevo,LT3362744,,,,,,
práctica,LT4034473,,,,,,
Necesidad,LT6437187,,,,,,
texto,LT3323076,,,,,,
participación,LT6232363,,,,,,
límite,LT9063186,,,,,,
valor,LT1957461,,,,,,
mensualidad,LT8129335,,,,,,
puesto de trabajo,LT3658903,,,,,,
adopción,LT7234067,,,,,,
efecto,LT8586110,,,,,,
máster,LT4267774,,,,,,
trabajador,LT5704006,,,,,,
residencia,LT3512686,,,,,,
renta,LT8755051,,,,,,
desempleo,LT2224553,,,,,,
convenio,LT5699566,,,,,,
salario,LT7718398,,,,,,
decisión,LT2356501,,,,,,
indemnización,LT7958974,,,,,,
regímenes,LT6064887,,,,,,
Modalidades del contrato,LT8453073,,,,,,
horas complementarias pactadas,LT3053590,,,,,,
eficacia,LT2032631,,,,,,
incremento,LT2299470,,,,,,
existencia,LT8214347,,,,,,
ordinarias de trabajo,LT6793771,,,,,,
materia,LT9922488,,,,,,
empresario,LT1212542,,,,,,
organización,LT2874478,,,,,,
fijación,LT8870920,,,,,,
alternancia,LT8583076,,,,,,
estudio,LT8972464,,,,,,
contrato de trabajoArtículo,LT3706485,,,,,,
manera,LT9462745,,,,,,
permiso,LT5395896,,,,,,
actividad,LT7724837,,,,,,
antigüedad,LT2060746,,,,,,
coyuntura,LT5334936,,,,,,
condiciones,LT3395636,,,,,,
vigencia,LT7224319,,,,,,
jornada,LT7131119,,,,,,
equivalente,LT9270872,,,,,,
número de horas,LT8100885,,,,,,
circunstancia,LT1674405,,,,,,
traslado,LT4774324,,,,,,
contratación,LT5038916,,,,,,
conducta,LT9038222,,,,,,
noche,LT1754977,,,,,,
cotización,LT3872930,,,,,,
Párrafo,LT5240224,,,,,,
sesenta,LT2640911,,,,,,
hora,LT4010883,,,,,,
letras,LT6789370,,,,,,
prestación,LT7866347,,,,,,
colocación,LT9992926,,,,,,
realización de horas,LT2862245,,,,,,
grado,LT7100654,,,,,,
porcentaje,LT9150395,,,,,,
Ley,LT8697970,,,,,,
pacto,LT5158010,,,,,,
realización,LT2936021,,,,,,
compensación,LT1326668,,,,,,
Gobierno,LT2891248,,,,,,
restricción,LT1983633,,,,,,
nivel,LT7386735,,,,,,
Jornada,LT9597339,,,,,,
cambio,LT4597310,,,,,,
cargo,LT8557019,,,,,,
carencia,LT5360851,,,,,,
incumplimiento,LT6889687,,,,,,
garantía,LT6580041,,,,,,
virtud,LT4824561,,,,,,
partes,LT2415114,,,,,,
familiar,LT6309124,,,,,,
estructura,LT1047862,,,,,,
retribución,LT5311733,,,,,,
posesión de título,LT6401590,,,,,,
bases,LT7054042,,,,,,
enunciadas,LT8721898,,,,,,
Trabajo,LT7274678,,,,,,
prestaciones,LT1652398,,,,,,
defecto,LT2737246,,,,,,
régimen,LT9279334,,,,,,
centro,LT2562616,,,,,,
cualificación,LT8759682,,,,,,
antelación,LT5898833,,,,,,
Hora,LT4597083,,,,,,
ramas,LT8863503,,,,,,
término,LT1248796,,,,,,
representante,LT4660310,,,,,,
duración del contrato,LT3939996,,,,,,
efectividad,LT1259799,,,,,,
meses,LT1958942,,,,,,
trabajo,LT8875927,,,,,,
competitividad,LT3825531,,,,,,
paternidad,LT8033667,,,,,,
extinción,LT1650094,,,,,,
ley,LT5981638,,,,,,
semanales en cómputo,LT6702477,,,,,,
edad,LT6970916,,,,,,
títulos de grado,LT1945987,,,,,,
empresa,LT2414531,,,,,,
celebración,LT5414695,,,,,,
aplicación,LT1952881,,,,,,
anual,LT2291123,,,,,,
documento,LT6656776,,,,,,
momento,LT4969079,,,,,,
razones,LT9579331,,,,,,
máximo de horas,LT5394194,,,,,,
embarazo,LT9991225,,,,,,
caso,LT1960198,,,,,,
promedio,LT8411955,,,,,,
producción,LT5940217,,,,,,
formación,LT6448128,,,,,,
revisión,LT1301704,,,,,,
fines,LT8017379,,,,,,
días,LT2502350,,,,,,
contratadas,LT7600057,,,,,,
certificado de profesionalidad,LT4193071,,,,,,
responsabilidad,LT4577885,,,,,,
ritmo,LT1193675,,,,,,
índice de precios,LT8414992,,,,,,
cómputo,LT9278504,,,,,,
derecho,LT6491949,,,,,,
Movilidad,LT6615416,,,,,,
realizadas,LT3407905,,,,,,
citado,LT2143723,,,,,,
párrafo,LT7297443,,,,,,
obtención,LT6789259,,,,,,
especificidad,LT7651819,,,,,,
consideración,LT6483603,,,,,,
Seguridad,LT8924033,,,,,,
posterioridad,LT4837245,,,,,,
periodo de prueba,LT2843266,,,,,,
Sección,LT8443665,,,,,,
letra,LT1069453,,,,,,
objeto,LT5061333,,,,,,
plazo,LT5986677,,,,,,
artículo,LT1954525,,,,,,
situación,LT9756805,,,,,,
escrito,LT3681720,,,,,,
ausencia,LT5200513,,,,,,
colectivo de ámbito,LT6912627,,,,,,
previsión,LT4319057,,,,,,
ordinaria de trabajo,LT3343596,,,,,,
fiesta,LT1445811,,,,,,
aprendizaje,LT9088022,,,,,,
semanal,LT5976281,,,,,,
proporción,LT3782919,,,,,,
tarde,LT9230500,,,,,,
supuesto,LT2252567,,,,,,
titulación,LT6006152,,,,,,
mínimo de descanso,LT6718937,,,,,,
exceder,LT2080609,,,,,,
formativos,LT5700009,,,,,,
asociación,LT7438836,,,,,,
negativa del trabajador,LT2164487,,,,,,
convenios colectivos sectoriales,LT6022910,,,,,,
iones,LT8940074,,,,,,
perjuicio,LT1532491,,,,,,
riesgo,LT2415117,,,,,,
gasto,LT2635749,,,,,,
itinerantes,LT3109436,,,,,,
ciento,LT4002749,,,,,,